City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
9,Porto Seguro,BR,82.92,broken clouds,-16.4497,-39.0647,Porto Cálem Praia Hotel
15,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
23,Guaira,BR,89.17,clear sky,-20.3183,-48.3106,Hotel do Lago
29,Omboue,GA,78.96,overcast clouds,-1.5746,9.2618,Hotel Olako
31,Johi,PK,85.48,broken clouds,26.6921,67.6133,Haji Fareed/ Abdul Qyoum Rodnani OTAQUE
32,Biak,ID,75.96,overcast clouds,-0.9131,122.8766,Penginapan Kim
33,Rikitea,PF,78.51,few clouds,-23.1203,-134.9692,People ThankYou
38,Quatre Cocos,MU,77.11,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
40,Sao Joao Da Barra,BR,84.29,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
42,Atuona,PF,79.45,broken clouds,-9.8,-139.0333,Villa Enata
45,Tual,ID,83.41,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
51,Port Elizabeth,ZA,75.09,clear sky,-33.918,25.5701,39 On Nile Guest House
52,Souillac,MU,77.38,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
53,Sao Jose Da Coroa Grande,BR,82.42,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
58,Butaritari,KI,80.67,light rain,3.0707,172.7902,Isles Sunset Lodge
62,Kota Kinabalu,MY,75.18,few clouds,5.9749,116.0724,Gaya Centre Hotel
71,Corrales,US,78.98,clear sky,35.2378,-106.6067,Quality Inn
74,Buala,SB,79.68,light rain,-8.145,159.5921,Maringe Lagoon Lodge
76,Takaungu,KE,80.6,overcast clouds,-3.6837,39.8566,Takaungu House
77,Hithadhoo,MV,83.37,overcast clouds,-0.6,73.0833,Scoop Guest House
78,Bella Union,UY,79.21,scattered clouds,-30.2752,-57.6007,Saville Free Shop
79,Campos,BR,84.25,few clouds,-21.75,-41.3,Palace Hotel - Campos dos Goytacazes
82,Kulhudhuffushi,MV,84.97,broken clouds,6.6221,73.07,Haajy Guest House 1
85,Saint-Joseph,RE,77.38,broken clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
90,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
97,Bambous Virieux,MU,77.25,few clouds,-20.3428,57.7575,Casa Tia Villa
100,Saint-Philippe,RE,78.39,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
101,Sur,OM,82.69,scattered clouds,22.5667,59.5289,Sur Plaza Hotel
103,Mataram,ID,79.61,overcast clouds,-8.5833,116.1167,Hotel Santika Mataram
106,Celestun,MX,88.02,clear sky,20.8667,-90.4,Posada Lilia
122,Sorong,ID,80.89,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
128,Vanimo,PG,78.13,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
131,San Juan,AR,75.94,clear sky,-31.5375,-68.5364,Hotel Provincial
132,Port Keats,AU,81.73,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
133,Eyl,SO,82.02,few clouds,7.9803,49.8164,Amiin Hotel
139,Santa Rosa,PH,82.38,clear sky,14.3122,121.1114,Erlyn’s Sta Rosa City Home
141,Trincomalee,LK,83.01,clear sky,8.5711,81.2335,Welcombe Hotel
143,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
153,Kutum,SD,83.75,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
155,Saint-Pierre,RE,78.48,clear sky,-21.3393,55.4781,Lindsey Hôtel
156,Mogadishu,SO,83.28,overcast clouds,2.0371,45.3438,Hotel Juba
160,Chuy,UY,76.46,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
170,Manuk Mangkaw,PH,83.08,overcast clouds,4.8,119.85,
175,Pasni,PK,79.93,clear sky,25.2631,63.471,Kashmiri Hotal
179,Tsiroanomandidy,MG,75.58,overcast clouds,-18.7667,46.0333,Hotel Ravinala
180,Avon Park,US,84.7,clear sky,27.5959,-81.5062,Econo Lodge Sebring
181,Bilma,NE,88.99,clear sky,18.6853,12.9164,Expeditions Ténére voyages
182,Finschhafen,PG,79.41,heavy intensity rain,-6.6024,147.8681,Cossam Guest House
186,Cayenne,GF,77.04,heavy intensity rain,4.9333,-52.3333,Hôtel Le Dronmi
188,Puerto Ayacucho,VE,82.99,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
197,Lagdo,CM,88.9,overcast clouds,9.05,13.7333,
198,Hambantota,LK,80.76,broken clouds,6.1241,81.1185,Bungalow 63
200,Cabo San Lucas,MX,77.05,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
201,Namibe,AO,79.43,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
204,Sola,VU,82.09,broken clouds,-13.8833,167.55,Leumerus Bungalows
212,Kahului,US,75.85,clear sky,20.8947,-156.47,Maui Seaside Hotel
226,Sao Felix Do Xingu,BR,81.97,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
232,Nuqui,CO,81.84,overcast clouds,5.7125,-77.2708,Hotel Nuquimar
233,Port Blair,IN,84.24,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
235,Meulaboh,ID,77.95,overcast clouds,4.1363,96.1285,Kost Pria
236,Waw,SS,88.79,overcast clouds,7.7029,27.9953,Universal Gab Hotel
241,Samarai,PG,81.82,overcast clouds,-10.6167,150.6667,Nuli Sapi
242,Santa Cruz Cabralia,BR,82.63,broken clouds,-16.2781,-39.0247,Puerto Princesa Inn
243,Vallenar,CL,77.34,overcast clouds,-28.5708,-70.7581,Humacao Bed & Breakfast
244,Carauari,BR,76.91,overcast clouds,-4.8828,-66.8958,Hotel Fellip
250,Linaon,PH,81.09,few clouds,9.9499,122.4483,Emoha Dive Resort
252,Tautira,PF,80.1,light rain,-17.7333,-149.15,Pension Oaoa
256,Bambanglipuro,ID,75.74,light rain,-7.95,110.2833,Puri Brata
258,Delta,NG,80.91,overcast clouds,5.5,6.0,Prestige Hotel
260,Mayumba,GA,77.79,overcast clouds,-3.432,10.6554,LIKWALE LODGE
262,Poum,NC,77.25,clear sky,-20.2333,164.0167,
263,Bathsheba,BB,84.81,broken clouds,13.2167,-59.5167,Atlantis Hotel
264,Sao Gabriel Da Cachoeira,BR,87.6,scattered clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
265,Galle,LK,81.12,overcast clouds,6.0367,80.217,Amangalla
268,Cairns,AU,77.07,light rain,-16.9167,145.7667,Mantra Trilogy Cairns
269,Aden,YE,81.75,clear sky,12.7794,45.0367,Sama Emirate Hotel
270,Muscat,OM,84.22,scattered clouds,23.6139,58.5922,Mutrah Hotel
273,Mahebourg,MU,77.29,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
280,Arraial Do Cabo,BR,78.76,clear sky,-22.9661,-42.0278,Pousada Porto Praia
281,Umm Lajj,SA,75.67,clear sky,25.0213,37.2685,Moon light Furnished Units
284,Vila Velha,BR,84.15,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
288,Isangel,VU,77.13,few clouds,-19.55,169.2667,Tanna Lodge
302,Minab,IR,77.32,overcast clouds,27.1467,57.0801,Bam campground
308,Cuencame,MX,85.59,scattered clouds,24.8711,-103.6964,HOTEL RICOME
310,Porto Walter,BR,88.48,broken clouds,-8.2686,-72.7439,Secretaria de saúde
315,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Pirineos
317,Harlingen,US,79.2,overcast clouds,26.1906,-97.6961,Courtyard by Marriott Harlingen
320,Aquiraz,BR,87.89,broken clouds,-3.9014,-38.3911,Pousada Rua Camurupim
324,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
325,Santo Antonio Do Sudoeste,BR,77.31,clear sky,-26.0736,-53.7253,Hotel Frontera
331,Kavaratti,IN,84.65,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
334,Dingle,PH,76.95,few clouds,10.9995,122.6711,SEGAYA PROPERTY
336,San Patricio,US,80.85,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
340,Bengkulu,ID,75.88,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
345,Puri,IN,82.92,scattered clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
348,Acapulco,MX,85.82,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
350,Cap Malheureux,MU,77.47,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
352,Muli,MV,84.27,scattered clouds,2.9167,73.5667,Medhufushi Island Resort
359,Kavieng,PG,82.4,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
361,Monteagudo,BO,86.27,clear sky,-19.8167,-63.9833,"Residencial ""OLIVIA"""
363,Sinnamary,GF,79.38,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
