City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Sitka,US,2022-04-13 16:20:02,57.0531,-135.33,37.29,35,0,4.61
1,Bluff,NZ,2022-04-13 16:20:03,-46.6,168.3333,44.8,83,81,13.18
2,Bubaque,GW,2022-04-13 16:20:04,11.2833,-15.8333,75.04,73,100,15.43
3,Panguna,PG,2022-04-13 16:20:04,-6.3164,155.4848,66.7,94,46,2.26
4,Saint John,CA,2022-04-13 16:20:05,45.2727,-66.0677,56.43,32,40,19.57
5,Berlevag,NO,2022-04-13 16:20:06,70.8578,29.0864,30.15,64,0,9.22
6,Ilulissat,GL,2022-04-13 16:17:17,69.2167,-51.1,21.22,86,75,6.91
7,Ushuaia,AR,2022-04-13 16:19:02,-54.8,-68.3,49.66,57,75,11.5
8,Esperance,AU,2022-04-13 16:20:08,-33.8667,121.9,62.44,87,75,17.63
9,Santa Teresa,VE,2022-04-13 16:20:08,10.2341,-66.6631,91.9,34,87,2.82
10,Castro,BR,2022-04-13 16:20:09,-24.7911,-50.0119,69.87,87,100,6.8
11,Poronaysk,RU,2022-04-13 16:20:10,49.2167,143.1167,26.08,81,78,5.3
12,Khatanga,RU,2022-04-13 16:20:10,71.9667,102.5,17.94,96,100,7.49
13,Banyo,CM,2022-04-13 16:20:11,6.75,11.8167,83.34,44,78,1.9
14,Yellowknife,CA,2022-04-13 16:20:12,62.456,-114.3525,6.42,68,20,4.61
15,Lithgow,AU,2022-04-13 16:20:13,-33.4833,150.15,51.48,98,100,4.83
16,Hermanus,ZA,2022-04-13 16:16:03,-34.4187,19.2345,67.8,88,99,10.71
17,Bathsheba,BB,2022-04-13 16:20:14,13.2167,-59.5167,86.61,54,20,24.16
18,Souillac,MU,2022-04-13 16:20:15,-20.5167,57.5167,77.38,88,75,14.97
19,Nanortalik,GL,2022-04-13 16:20:15,60.1432,-45.2371,38.64,73,99,5.01
20,Albany,US,2022-04-13 16:17:12,42.6001,-73.9662,65.73,37,95,9.01
21,Provideniya,RU,2022-04-13 16:20:16,64.3833,-173.3,17.82,91,100,19.15
22,Butaritari,KI,2022-04-13 16:15:19,3.0707,172.7902,81.63,77,12,16.11
23,Westport,US,2022-04-13 16:20:17,41.1415,-73.3579,69.13,40,0,11.5
24,Punta Arenas,CL,2022-04-13 16:19:37,-53.15,-70.9167,59.11,58,40,31.07
25,Upernavik,GL,2022-04-13 16:20:18,72.7868,-56.1549,4.84,86,100,9.08
26,Carnarvon,AU,2022-04-13 16:20:19,-24.8667,113.6333,69.87,64,0,12.66
27,Jamestown,US,2022-04-13 16:15:38,42.097,-79.2353,71.19,88,100,14.97
28,Padang,ID,2022-04-13 16:18:56,-0.9492,100.3543,79.68,85,100,1.77
29,Kapaa,US,2022-04-13 16:20:20,22.0752,-159.319,71.92,96,40,9.22
30,Nantucket,US,2022-04-13 16:20:21,41.2835,-70.0995,64.54,55,0,11.5
31,Freeport,US,2022-04-13 16:20:21,40.6576,-73.5832,69.78,55,0,18.41
32,Longyearbyen,SJ,2022-04-13 16:20:22,78.2186,15.6401,19.02,86,100,8.25
33,Saint-Philippe,RE,2022-04-13 16:20:22,-21.3585,55.7679,76.59,89,90,16.28
34,Cidreira,BR,2022-04-13 16:20:23,-30.1811,-50.2056,69.51,80,97,10.98
35,Manyana,BW,2022-04-13 16:20:24,-23.4,21.7167,78.93,28,40,6.46
36,Hauterive,FR,2022-04-13 16:20:24,46.0901,3.4459,65.16,54,64,5.5
37,Marzuq,YE,2022-04-13 16:20:25,14.4,46.4667,77.63,27,0,12.1
38,Palmer,US,2022-04-13 16:20:25,42.1584,-72.3287,69.17,21,75,8.05
39,Lazaro Cardenas,MX,2022-04-13 16:18:35,17.9583,-102.2,81.82,64,100,4.45
40,Tasiilaq,GL,2022-04-13 16:20:26,65.6145,-37.6368,33.96,71,100,7.23
41,Medianeira,BR,2022-04-13 16:20:27,-25.2953,-54.0939,71.04,93,100,1.86
42,Tezu,IN,2022-04-13 16:20:27,27.9167,96.1667,70.66,94,97,0.98
43,Kodiak,US,2022-04-13 16:19:38,57.79,-152.4072,38.71,65,0,11.5
44,Rikitea,PF,2022-04-13 16:21:28,-23.1203,-134.9692,78.04,71,3,17.36
45,Jawar,IN,2022-04-13 16:21:28,23.0,76.5,90.82,14,3,8.61
46,Georgetown,MY,2022-04-13 16:18:45,5.4112,100.3354,81.95,89,20,9.22
47,Moron,AR,2022-04-13 16:19:06,-34.6534,-58.6198,67.01,47,2,7.96
48,Vila,PT,2022-04-13 16:21:29,42.0304,-8.1588,57.7,66,74,4.94
49,Bredasdorp,ZA,2022-04-13 16:21:30,-34.5322,20.0403,66.56,83,100,11.45
50,Ploemeur,FR,2022-04-13 16:21:13,47.7333,-3.4333,65.62,62,0,11.5
51,Kavaratti,IN,2022-04-13 16:21:31,10.5669,72.642,84.94,68,100,1.12
52,Barrow,US,2022-04-13 16:20:34,71.2906,-156.7887,-5.78,77,0,4.61
53,Torbay,CA,2022-04-13 16:21:31,47.6666,-52.7314,39.27,94,100,20.71
54,Alofi,NU,2022-04-13 16:20:00,-19.0595,-169.9187,73.29,100,9,1.14
55,Balikpapan,ID,2022-04-13 16:21:32,-1.2675,116.8289,77.99,100,20,3.44
56,Aklavik,CA,2022-04-13 16:18:57,68.2191,-135.0107,12.2,79,100,11.5
57,New Norfolk,AU,2022-04-13 16:21:33,-42.7826,147.0587,51.71,71,5,3.51
58,Vaini,TO,2022-04-13 16:21:34,-21.2,-175.2,71.76,100,20,4.61
59,Duayaw Nkwanta,GH,2022-04-13 16:21:34,7.1724,-2.1028,81.46,67,100,2.06
60,Thompson,CA,2022-04-13 16:21:35,55.7435,-97.8558,19.56,79,75,16.11
61,Airai,TL,2022-04-13 16:21:36,-8.9266,125.4092,59.86,93,100,2.35
62,Henties Bay,NA,2022-04-13 16:21:36,-22.116,14.2845,64.17,79,34,11.81
63,Donskoye,RU,2022-04-13 16:21:37,45.4552,41.9741,48.33,54,100,23.29
64,Viking,CA,2022-04-13 16:21:37,53.1001,-111.7684,13.86,61,100,12.15
65,Faya,SA,2022-04-13 16:21:37,18.3851,42.4509,71.71,37,6,4.41
66,Sao Miguel Do Araguaia,BR,2022-04-13 16:21:38,-13.275,-50.1628,91.08,49,18,1.79
67,Rawson,AR,2022-04-13 16:21:27,-43.3002,-65.1023,61.56,42,4,7.02
68,Koronowo,PL,2022-04-13 16:19:29,53.3137,17.937,59.31,36,86,8.05
69,Kyabe,TD,2022-04-13 16:21:39,9.4515,18.9449,93.45,34,61,6.22
70,Tevriz,RU,2022-04-13 16:21:40,57.509,72.4042,37.71,90,99,7.43
71,Nikolskoye,RU,2022-04-13 16:21:40,59.7035,30.7861,44.49,81,10,5.1
72,Busselton,AU,2022-04-13 16:21:41,-33.65,115.3333,55.36,85,0,9.71
73,Mataura,NZ,2022-04-13 16:21:41,-46.1927,168.8643,44.47,98,33,2.21
74,Kailua,US,2022-04-13 16:21:42,21.4022,-157.7394,74.14,85,98,1.99
75,Qaanaaq,GL,2022-04-13 16:21:42,77.484,-69.3632,2.1,92,100,5.48
76,Saskylakh,RU,2022-04-13 16:21:43,71.9167,114.0833,-7.82,100,97,4.59
77,Sibolga,ID,2022-04-13 16:21:43,1.7427,98.7792,77.79,89,94,2.95
78,Port Blair,IN,2022-04-13 16:21:44,11.6667,92.75,80.64,89,20,2.3
79,Bethel,US,2022-04-13 16:21:45,41.3712,-73.414,69.89,30,0,14.97
80,Hobart,AU,2022-04-13 16:18:25,-42.8794,147.3294,52.05,82,3,11.5
81,Cairns,AU,2022-04-13 16:21:46,-16.9167,145.7667,78.75,69,40,12.66
82,Ribeira Grande,PT,2022-04-13 16:21:46,38.5167,-28.7,63.0,77,40,24.16
83,Chemal,RU,2022-04-13 16:21:47,51.4111,86.005,37.72,89,55,0.4
84,Hithadhoo,MV,2022-04-13 16:21:47,-0.6,73.0833,84.51,71,41,11.92
85,Maltahohe,NA,2022-04-13 16:21:48,-24.8333,16.9833,82.89,13,0,8.95
86,Itarema,BR,2022-04-13 16:21:48,-2.9248,-39.9167,84.33,70,92,8.59
87,Jardim,BR,2022-04-13 16:22:49,-21.4803,-56.1381,81.12,79,100,4.99
88,Namibe,AO,2022-04-13 16:18:42,-15.1961,12.1522,77.16,78,3,9.71
89,Katsuura,JP,2022-04-13 16:22:49,35.1333,140.3,63.37,96,52,2.51
90,Kaitangata,NZ,2022-04-13 16:22:50,-46.2817,169.8464,42.22,90,30,5.32
91,Gat,IL,2022-04-13 16:22:50,31.61,34.7642,65.39,3,78,11.59
92,Port Alfred,ZA,2022-04-13 16:22:51,-33.5906,26.891,70.18,90,3,1.99
93,Aligudarz,IR,2022-04-13 16:22:51,33.4006,49.6949,59.83,29,0,10.25
94,Pevek,RU,2022-04-13 16:22:52,69.7008,170.3133,-3.77,93,92,0.98
95,Najran,SA,2022-04-13 16:22:52,17.4924,44.1277,88.45,13,63,12.35
96,Imbituba,BR,2022-04-13 16:22:53,-28.24,-48.6703,75.09,79,77,6.69
97,Sehithwa,BW,2022-04-13 16:18:47,-20.4667,22.7167,83.26,31,79,3.13
98,Hilo,US,2022-04-13 16:22:53,19.7297,-155.09,70.25,88,75,5.75
99,Severo-Kurilsk,RU,2022-04-13 16:22:54,50.6789,156.125,29.16,93,100,13.78
100,Alta Floresta,BR,2022-04-13 16:22:54,-9.8756,-56.0861,86.5,64,31,1.16
101,Adrar,MR,2022-04-13 16:22:55,20.5022,-10.0711,95.13,8,12,11.63
102,Isangel,VU,2022-04-13 16:22:55,-19.55,169.2667,77.27,85,10,5.03
103,Sorong,ID,2022-04-13 16:22:56,-0.8833,131.25,79.09,88,100,6.73
104,Martapura,ID,2022-04-13 16:22:57,-3.4167,114.85,75.15,91,100,1.3
105,East London,ZA,2022-04-13 16:20:17,-33.0153,27.9116,72.19,79,2,4.63
106,Arraial Do Cabo,BR,2022-04-13 16:22:57,-22.9661,-42.0278,87.76,70,0,16.11
107,Paamiut,GL,2022-04-13 16:22:30,61.994,-49.6678,31.51,79,95,17.67
108,Loughton,GB,2022-04-13 16:22:58,52.0304,-0.7864,64.17,67,20,8.05
109,Nova Odesa,UA,2022-04-13 16:22:59,47.3078,31.7851,43.65,85,100,20.47
110,Dikson,RU,2022-04-13 16:22:59,73.5069,80.5464,27.73,91,100,14.47
111,Tuktoyaktuk,CA,2022-04-13 16:23:00,69.4541,-133.0374,1.4,71,20,12.66
112,Chokurdakh,RU,2022-04-13 16:23:00,70.6333,147.9167,-19.17,100,82,4.03
113,Puerto Ayora,EC,2022-04-13 16:23:01,-0.7393,-90.3518,82.36,78,54,8.05
114,Mitsamiouli,KM,2022-04-13 16:23:01,-11.3847,43.2844,82.69,78,40,3.44
115,Beringovskiy,RU,2022-04-13 16:18:55,63.05,179.3167,23.58,96,100,13.96
116,Atuona,PF,2022-04-13 16:23:02,-9.8,-139.0333,77.88,81,48,18.32
117,Dunedin,NZ,2022-04-13 16:19:15,-45.8742,170.5036,48.79,84,2,1.99
118,Arlit,NE,2022-04-13 16:23:03,18.7369,7.3853,105.4,5,98,10.07
119,Kahului,US,2022-04-13 16:21:49,20.8947,-156.47,74.84,77,20,7.0
120,Puerto Carreno,CO,2022-04-13 16:23:04,6.189,-67.4859,91.38,49,20,11.5
121,Vostok,RU,2022-04-13 16:23:04,46.4856,135.8833,21.76,95,46,3.74
122,San Patricio,US,2022-04-13 16:23:05,28.017,-97.5169,84.29,74,100,11.9
123,Cape Town,ZA,2022-04-13 16:23:06,-33.9258,18.4232,70.12,82,20,19.57
124,Kruisfontein,ZA,2022-04-13 16:23:07,-34.0033,24.7314,65.91,76,4,10.71
125,Udarnyy,RU,2022-04-13 16:23:07,54.3409,42.8611,53.44,78,99,7.36
126,Victoria,HK,2022-04-13 16:21:19,22.2855,114.1577,78.19,89,89,8.01
127,Lubango,AO,2022-04-13 16:23:09,-14.9172,13.4925,66.83,77,20,1.77
128,Hasaki,JP,2022-04-13 16:21:29,35.7333,140.8333,59.4,91,60,20.15
129,Nurota,UZ,2022-04-13 16:23:10,40.5614,65.6886,69.04,47,2,8.39
130,Alamor,EC,2022-04-13 16:23:10,-4.0181,-80.0197,70.88,77,81,4.61
